place_id,name,address,lat,lng,types,rating,user_ratings_total,price_level,website,phone,summary
ChIJAbyX-uY7Yg0RjlGWdGXAa5A,DIDIER NAPOLETANO,"C. de Sant Vicent, 113, 03560 El Campello, Alicante, España",38.4188745,-0.3917517,establishment;food;point_of_interest;restaurant,,,,,865 88 53 69,
ChIJRakVw7I3Yg0RmkHAdZESo0Y,Pinetell vins i tapes Alacant,"C/ Navas, 21, 03001 Alacant, Alicante, España",38.3453335,-0.4870598,bar;establishment;food;point_of_interest;restaurant,4.5,264,1,,601 42 60 11,
ChIJ_S7-aEw2Yg0RNsZtKOpvkRw,L'arruzz - Alicante,"Carrer Portugal, 29, 03003 Alacant, Alicante, España",38.3425805,-0.4908696999999999,bar;establishment;food;point_of_interest;restaurant,4.3,3014,2,http://www.larruzzalicante.com/,965 12 20 98,Mesón y barra con decoración contemporánea de materiales rústicos que sirve recetas mediterráneas y arroces.
ChIJU0qbxbM3Yg0RbbgurEyaTuc,Manero Alicante - Manero Mollá,"C. Médico Manero Mollà, 7, 03001 Alicante (Alacant), Alicante, España",38.34390080000001,-0.4839376,bar;establishment;food;point_of_interest;restaurant;store,4.5,4457,2,http://barmanero.es/,966 60 11 32,"Animado bar, con detalles de madera y suelo con mosaicos decorativos, que sirve tapas españolas, cerveza y vino."
ChIJt2ocvVg3Yg0RIxkQ6_3BO1w,Restaurante Casa Yong - Alicante,"C. Hogar Provincial, 1, 03559 Alicante (Alacant), Alicante, España",38.3850664,-0.4505869,establishment;food;point_of_interest;restaurant,4.2,2639,1,https://drive.google.com/drive/folders/1-3RFI3WRId_1TesZX7WIKDi5vQ8KZ93P,965 26 36 50,Luminoso y elegante comedor con bambú y papel pintado donde degustar platos como pato Pekín o gambas al curry.
ChIJeSonZU43Yg0RoNlx8l0RjmE,Restaurante Que Rico Puerto De Alicante,"Mlle. Levante, 8, fase 2 local 5, 03001 Alicante (Alacant), Alicante, España",38.3400129,-0.4801371999999999,establishment;food;point_of_interest;restaurant,4.5,216,,http://quericorestaurante.es/,691 29 54 83,
ChIJXYnwKwA3Yg0R0F3byvb95tc,Restaurante Love's Burger,"C. Churruca, 12, 03003 Alicante (Alacant), Alicante, España",38.3397071,-0.4915718000000001,establishment;food;point_of_interest;restaurant,4.8,146,,,865 83 33 00,
ChIJXb_neaY5Yg0RoGKsY2DZ-XE,Restaurante Johanna,"Av. Bruselas, 17, 03540 Alicante (Alacant), Alicante, España",38.3705299,-0.4169872,bar;establishment;food;point_of_interest;restaurant,4.2,662,1,https://www.restaurantejohanna.es/,965 15 39 31,
ChIJNdC7oOk3Yg0RABG3pQ1Jbfc,Flanagan’s City,"C. Martin Luther King, 3, 03010 Alicante (Alacant), Alicante, España",38.3612848,-0.4887719,bar;establishment;food;point_of_interest;restaurant,4.3,77,,,639 64 65 39,
ChIJNxJq5rI3Yg0RM8tIrBv0CFs,Restaurante El Verde con el chef Eduardo Vallino,"Pl. Nueva, 4, 03001 Alicante (Alacant), Alicante, España",38.3450165,-0.4866076,establishment;food;point_of_interest;restaurant,4.5,358,,,691 09 37 80,
ChIJ22Fh0WA2Yg0RtWQv76QzvhI,Cerveceria Pau 1,"Av. José Jornet Navarro, local 8, 03005 Alicante (Alacant), Alicante, España",38.3526749,-0.5088239,bar;cafe;establishment;food;point_of_interest;restaurant;store,4.3,405,1,http://www.facebook.com/cerveceriapau1,965 28 01 61,Tapas y cocina casera española en un acogedor local de barrio con paredes de pizarra y mobiliario de madera.
ChIJIxPA0LM3Yg0RXZ8zvoik_Z8,El Portal Alicante - Krug Ambassade,"C. Bilbao, 2, 03001 Alicante (Alacant), Alicante, España",38.3439992,-0.4836382,bar;establishment;food;point_of_interest;restaurant,4.4,4059,3,http://elportalalicante.es/,965 14 32 69,"Bar restaurante refinado y ornamentado, con tapas, marisco y cócteles, y sesiones de DJs."
ChIJ-fJlIa03Yg0RplehJ2IHt20,PESCADOSCORONA,"Av. Alfonso El Sabio, 10, 03004 Alicante (Alacant), Alicante, España",38.34952,-0.48701,establishment;food;point_of_interest;restaurant;store,3.8,10,,http://www.pescadoscorona.com/,965 20 17 62,
ChIJX56eEv42Yg0RIChXGFAj5_A,Singapur Restaurante,"C. Agustín Gosálvez Orts, 5, 03010 Alicante (Alacant), Alicante, España",38.3623149,-0.4891639,establishment;food;point_of_interest;restaurant,3.9,246,1,,965 25 89 11,
ChIJT6ZTC6U5Yg0R8Nyq5nB-UuQ,Hotel Alicante Golf,"Carrer Escultor José Gutierrez, 23, 03540 Alacant, Alicante, España",38.3750081,-0.4211054,establishment;food;lodging;point_of_interest;restaurant;spa,4.1,2271,,http://www.hotelalicantegolf.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4832913913118445398,965 23 50 00,"Hotel sencillo en un campo de golf con restaurante, bar, spa y piscinas."
ChIJ25sSjsw3Yg0RNzseSnbzV10,MAKALU VEGGIE,"C. Alférez Díaz Sanchis, 4, 03004 Alicante (Alacant), Alicante, España",38.3528773,-0.4866083,establishment;food;point_of_interest;restaurant,4.9,189,,,613 36 07 25,
ChIJySBQNtY5Yg0RwYo8VfLaIYU,NONNA CELIA - San Juan,"c/ Historiador Vicente Ramos, C. Licia Calderón, esquina, 03540 Alicante (Alacant), Alicante, España",38.3676245,-0.4272052,establishment;food;point_of_interest;restaurant,4.7,261,,http://www.nonnacelia.com/,966 17 78 68,
ChIJd6s3LfA2Yg0R0sjY2Tmnd3g,Cafetería Heladería Alacant,"C. Virgen del Puig, 19, 03009 Alicante (Alacant), Alicante, España",38.3700136,-0.5000432,cafe;establishment;food;point_of_interest;restaurant;store,4.4,671,1,,,
ChIJUZ8YmbY5Yg0RAzkfULs2ljI,Cafetería Baker & Co,"Av. de la Condomina, 46, 03540 Alacant, Alicante, España",38.3634647,-0.428037,cafe;establishment;food;point_of_interest;restaurant;store,4.4,2029,2,http://www.bakerandco.es/,695 06 80 69,
ChIJhalqAWs2Yg0Ra1X4cbROQOo,Centro Comercial Puerta de Alicante,"Av. José María Hernández Mata, s/n, 03007 Alicante (Alacant), Alicante, España",38.3412116,-0.5178724,clothing_store;establishment;food;grocery_or_supermarket;health;pharmacy;point_of_interest;restaurant;shopping_mall;store;supermarket;travel_agency,3.8,9443,,http://www.puertadealicante.com/,965 11 21 69,"Extenso centro comercial con restaurantes, tiendas, modernas salas de cine 3D y zona recreativa para niños."
ChIJo3t2Hgo3Yg0RzNTNI1NM-x8,El Portón de Elisa,"C. Río Vinalopó, 03013 Alicante (Alacant), Alicante, España",38.3587349,-0.473764,bar;establishment;food;point_of_interest;restaurant,4.1,110,1,,610 30 03 20,
ChIJk22gaRU3Yg0Rq4btd0MHkcY,Masala Cantina,"Av. Alfonso El Sabio, 10, Puesto 31, 03004 Alicante (Alacant), Alicante, España",38.3482514,-0.4863944999999999,establishment;food;point_of_interest;restaurant,5,30,,https://www.masalacantina.com/,,
ChIJA5aUi603Yg0RupOR-uk97_I,Coffee Nutz,"Rbla. de Méndez Núñez, 48, 03002 Alicante (Alacant), Alicante, España",38.3475251,-0.4845480999999999,bar;cafe;establishment;food;grocery_or_supermarket;point_of_interest;restaurant;store,4.4,427,1,,966 35 06 66,
ChIJD1CFEPQ5Yg0R1axIc86CK-E,Pizzeria Nando,"Carrer Dr. Severo Ochoa, 6, 03550 Sant Joan d'Alacant, Alicante, España",38.3956889,-0.4351096,establishment;food;point_of_interest;restaurant,4.6,1071,1,https://pizzerianando.com/,966 37 25 46,
ChIJx6q0CKE3Yg0RiaB1S13x2aE,Bombon Boss,"Avenida Denia S/N, Plaza Mar, 2, C.C, 03016 Alicante (Alacant), Alicante, España",38.354465,-0.4716037,cafe;establishment;food;meal_delivery;meal_takeaway;point_of_interest;restaurant;store,3.9,970,1,http://www.bombonboss.com/,648 74 66 62,
ChIJoYrPqlk3Yg0R8rte_9sxKSI,Bar Miradores,"C. Pintor Pedro Camacho, 5, 03015 Alicante (Alacant), Alicante, España",38.3717996,-0.4741978,bar;establishment;food;point_of_interest;restaurant,4.5,28,,,,
ChIJQ6eSllc5Yg0RVK2ElMXgLc4,VOCA,"Av. Artista Remigio Soler López, 9, 03540 Alicante (Alacant), Alicante, España",38.3837497,-0.4142353,establishment;food;point_of_interest;restaurant,4.9,105,,https://voca.es/,604 82 84 96,
ChIJTX4sMdc5Yg0R5YwiTDTXUfE,Daikichi Beach,"Maestro José Garberí Serrano, 5 fase 4, 03540 Alicante (Alacant), Alicante, España",38.3822309,-0.4142679,establishment;food;point_of_interest;restaurant,4.6,382,,https://www.instagram.com/daikichibeach?igsh=MXF4NnJqN256Z3h3bw==,865 81 34 87,
ChIJVdNBEAA3Yg0RIhZfjSxzmFU,Garaje Restaurante Mercado,"Av. Alfonso El Sabio, 18, 03004 Alicante (Alacant), Alicante, España",38.3473799,-0.4875858,establishment;food;point_of_interest;restaurant,4.4,462,,https://elgarajebar.es/,,
ChIJU9EN4gc3Yg0RPoLfPIaVnUg,Supermercados Dia,"C. de Sant Mateu, 37, 03012 Alacant, Alicante, España",38.3584489,-0.4783492,bakery;establishment;food;grocery_or_supermarket;point_of_interest;restaurant;store;supermarket,3.9,342,,https://www.dia.es/,912 17 04 53,"Alimentación, bebidas, droguería y perfumería en supermercados con productos propios y de primeras marcas."
ChIJ-xtHuvU5Yg0RUr1-_Rc49lU,"Telepizza San Juan, Pueblo - Comida a Domicilio","Avinguda Mutxamel, 1, 03550 Sant Joan d'Alacant, Alicante, España",38.4054443,-0.4394723,establishment;food;meal_delivery;meal_takeaway;point_of_interest;restaurant,3.6,465,1,https://www.telepizza.es/,965 65 53 62,Pizzas con receta clásica o elaboración al gusto en cadena de pizzerias con servicio a domicilio.
ChIJnXE3yog5Yg0RQeHRFzbSOYI,Dorkas’s Coffee and Food,"Plaça de la Constitución, 1, 03550 Sant Joan d'Alacant, Alicante, España",38.3962031,-0.4332954,bar;cafe;establishment;food;point_of_interest;restaurant;store,4,307,,https://dorkas.eatbu.com/,657 47 79 57,
ChIJIeXCYgA3Yg0RMh_W7Y2FR4Y,"Bocata Q,bano Q,chimba","C. Boyero, 14, 03007 Alicante (Alacant), Alicante, España",38.3436701,-0.5102055,establishment;food;point_of_interest;restaurant,4.2,63,,,865 55 64 78,
ChIJYy5Ll0w2Yg0R7lOHvGXqLm4,Barrera&Toma,"Carrer Alemania, 30, 03003 Alacant, Alicante, España",38.3426274,-0.4894656999999999,establishment;food;point_of_interest;restaurant,,,,,,
ChIJacVfrw86Yg0RDMw0YGbamao,Restaurante Les Tapes de la Iaia,"Carrer Salvador i Vicente Pérez Lledó, 6, 8, 03110 Mutxamel, Alicante, España",38.4125342,-0.4426255,establishment;food;point_of_interest;restaurant,4.4,610,2,http://mesonino.com/,965 95 29 12,
ChIJDR65ywg6Yg0R54-X8vPZVkA,El Racó Arròs i Tapes,"Carrer Dolores, 22, 03110 Mutxamel, Alicante, España",38.4119513,-0.445929,establishment;food;point_of_interest;restaurant,4,2,,,,
ChIJOQOKN_82Yg0RHuLLlcikt_s,Pastelería Amada Alacant,"C. Aureliano Ibarra, 12, 03009 Alicante (Alacant), Alicante, España",38.3592663,-0.4919903,bakery;bar;cafe;establishment;food;point_of_interest;restaurant;store,4.5,677,1,https://pasteleriaamada.es/tabs/tab1,965 25 16 93,
ChIJfcp_6xE3Yg0RKtQT5NdPG3A,Linea7 Coffee Bar & Cocktail,"Pl. Gabriel Miró, 15, 03001 Alicante (Alacant), Alicante, España",38.3436915,-0.4853938,bar;establishment;food;point_of_interest;restaurant,4.6,228,,https://linea7bar.es/,,
ChIJEfShSgA3Yg0RiLC9oRzg0Wg,Teghokhan10,"03003 Alicante (Alacant), Alicante, España",38.3379395,-0.4915329000000001,establishment;food;point_of_interest;restaurant,,,,,,
ChIJ2aOGFj83Yg0R61XrMo-bEU8,Casa pablo Dana restaurante,"Carrer Sol Naixent, 8, 03016 Alacant, Alicante, España",38.3592141,-0.4523887,establishment;food;point_of_interest;restaurant,4.8,116,,,644 58 83 57,
ChIJzfyvEZw5Yg0RJpw98yi5vmA,The Place irish Pub,"Avda, Maestro José Garberí Serrano, 14, 03540 Alicante (Alacant), Alicante, España",38.38529219999999,-0.4165494,bar;establishment;food;point_of_interest;restaurant,4.2,851,2,,684 34 58 00,
ChIJ39D6LYQ3Yg0RRfsOvWNXjdA,The Eden PUB,"C/ Italia, 20, 26, 03003 Alacant, Alicante, España",38.3406618,-0.4912758999999999,bar;establishment;food;point_of_interest;restaurant,4.6,38,,,965 12 03 69,
ChIJu46eyRA5Yg0RqECoXh-L2m4,Burger Chef,"C. del Notario Salvador Montesinos Bonet, 23, 03550 Sant Joan d'Alacant, Alicante, España",38.3968468,-0.4313884,establishment;food;point_of_interest;restaurant,4.7,285,,,640 55 41 70,
ChIJUxFshnw3Yg0Rve-frhybwCs,Guayanes,"Calle Dr. Nieto, 43, 03013 Alicante (Alacant), Alicante, España",38.3575196,-0.4783098,establishment;food;point_of_interest;restaurant,,,,https://guayanes.ueniweb.com/?utm_campaign=gmb,637 71 12 82,
ChIJz22lfGg3Yg0RT2Liwz4ZCl0,El Papi Halal,"Carrer lo Torrent, 03690 Sant Vicent del Raspeig, Alicante, España",38.3948985,-0.5140226,establishment;food;point_of_interest;restaurant,4.8,15,,,,
ChIJU6ctGEM3Yg0R5Owr6jA0YBI,Don Pedro Kebab Alicante,"Calle del Médico Pascual Pérez, 13, 03001 Alicante (Alacant), Alicante, España",38.3462334,-0.4867115999999999,establishment;food;point_of_interest;restaurant,4.1,112,,https://donpedrokebab.es/,641 31 09 80,
ChIJ31x9Sxo3Yg0RE7czN73Zp0k,Sukiya,"C. Poeta Quintana, 14, 03004 Alacant, Alicante, España",38.348415,-0.4875894,establishment;food;point_of_interest;restaurant,4.8,352,1,https://www.restaurantlogin.com/ordering/restaurant/menu?company_uid=6681d0f2-c238-4748-8b2a-4c5fa252e24f&restaurant_uid=895dbada-37f3-488b-b436-e8a227d63287&facebook=true,624 27 21 51,
ChIJJ2VG_uI5Yg0Rm0ycnNdXg54,LA PROViSIONAL,"Av. Goleta, 3, local 2, 03540 Alicante (Alacant), Alicante, España",38.36270160000001,-0.4297852,bar;establishment;food;point_of_interest;restaurant,4.7,235,,https://instagram.com/laprovisional_sanjuan?igshid=MzRlODBiNWFlZA==,681 29 36 90,
ChIJM_CWvwc3Yg0RV18ZxmFdMII,Pizzería Rey,"03012 Alicante (Alacant), Alicante, España",38.3591591,-0.4797823999999999,establishment;food;point_of_interest;restaurant,3,2,,,,
ChIJRyGBgp43Yg0RmGqQeb-WTJQ,amigo kebab cafeteria,"C. Pradilla, 12, 03012 Alicante (Alacant), Alicante, España",38.3591584,-0.4800062,establishment;food;point_of_interest;restaurant,4.7,128,,,865 55 29 63,
ChIJP5rDPAc5Yg0Rzl_rPRsiyOs,Julita. Las Tortillas del Norte,"Deportista Javier Cabanas, 9, 03540 Alicante (Alacant), Alicante, España",38.3846753,-0.4121139,establishment;food;meal_delivery;meal_takeaway;point_of_interest;restaurant,4.4,18,,https://www.lastortillasdejulita.com/,665 38 65 51,
ChIJW6YINu43Yg0RRupqKDZP-OQ,Restaurante chino king,"Gran Vía, 553, 03010 Alicante (Alacant), Alicante, España",38.3636809,-0.4895621999999999,establishment;food;point_of_interest;restaurant,2,61,,,665 09 42 68,
ChIJkzqJkqE7Yg0RKdeL6W2MShg,"A tu mesa, pollos asados y comida para llevar","C/ de Fra Juan Tensa, 54, 03560 El Campello, Alicante, España",38.430474,-0.3937826,establishment;food;meal_takeaway;point_of_interest;restaurant,4.6,145,1,https://a-tu-mesa-el-campello.makro.bar/?lang=es,965 50 89 05,
ChIJq2XQBHs7Yg0RkheLYLI_WVI,Restaurante Pizzería La Famiglia,"C. Sant Bartomeu, 55, 03560 El Campello, Alicante, España",38.4264676,-0.3911568,establishment;food;point_of_interest;restaurant,4.5,348,,,965 98 07 24,
ChIJhboQNk02Yg0Ro2aI0kvbnFk,Mon Sucrée,"C. de Ángel Lozano, 15, 03001 Alicante (Alacant), Alicante, España",38.3463259,-0.4887109,bakery;cafe;establishment;food;point_of_interest;restaurant;store,4.4,570,,https://monsucree.es/,965 59 83 30,
ChIJSxwhrOk5Yg0Rqgv2u0JT5Ds,Puerto Madero Grill & Drinks,"C. del Olimpo, 1, 03016 Alicante (Alacant), Alicante, España",38.3661536,-0.4419563,establishment;food;point_of_interest;restaurant,4.6,1260,2,http://www.puertomaderoalicante.com/,865 80 65 72,
ChIJ5dhJqTM5Yg0R_cSVKfsgXZ8,La Xinesa Pau 5,"Maestro José Garberí Serrano, 12, 03540 Alicante (Alacant), Alicante, España",38.3843526,-0.4154267,establishment;food;meal_takeaway;point_of_interest;restaurant,3.7,157,,http://www.laxinesa.com/,965 98 03 63,
ChIJY65AWPk3Yg0RTaXPTUQNtRo,Goodita,"C/ de Sant Agustí, 2, 03002 Alacant, Alicante, España",38.3457763,-0.481516,cafe;establishment;food;point_of_interest;restaurant;store,4.2,302,,https://www.gooditazero.com/,624 16 72 81,
ChIJk1WFa242Yg0Rdj_vEGuX88Q,Cervecería Altamira - 2,"C. Sociedad Cultural Deportiva Betis Florida, 18, 03007 Alicante (Alacant), Alicante, España",38.342842,-0.5150003,bar;establishment;food;point_of_interest;restaurant,4.2,1242,1,,965 10 00 10,
ChIJS-kVhO03Yg0RbqDQnZ9gGR4,Kad & Kad,"Plaça Manila, 2, 03013 Alacant, Alicante, España",38.3587451,-0.4775565,establishment;food;point_of_interest;restaurant,3.8,219,,,685 54 09 86,
ChIJ9RipBAA3Yg0RSEovbCo4ZNU,Fondillo,"C. Mayor, 03002 Alicante (Alacant), Alicante, España",38.3453331,-0.4814267,establishment;food;point_of_interest;restaurant,,,,,,
ChIJMbtsB7M5Yg0RyUU_EBXa4XY,Hostal Mont Royal,"C. Trident, 19, 03540 Cabo de la Huerta, Alicante, España",38.3600405,-0.4245792,establishment;food;lodging;point_of_interest;restaurant,4.1,792,,http://www.montroyal.es/,965 16 04 11,"Hostal con habitaciones acogedoras decoradas de forma individual, piscinas exteriores, restaurante y pizzería."
ChIJe6lMbig3Yg0RMwFH7X7Bm0c,Club de Campo Alicante,"Carrer de la Sardina, 1, 03110 Mutxamel, Alicante, España",38.39638890000001,-0.4630556,establishment;food;gym;health;point_of_interest;restaurant,4,680,,http://www.clubdecampo-alicante.com/,671 47 85 47,
ChIJKfqsb6g3Yg0RNw6WkDToy0Q,Café Panicia´s,"Av. del Padre Esplá, 7, 03013 Alicante (Alacant), Alicante, España",38.35592270000001,-0.4792613,cafe;establishment;food;point_of_interest;restaurant;store,4.5,411,1,,966 27 03 45,
ChIJ17zs1Lc5Yg0RcrhIvLm9how,Mauro Eventos,"Av. de Ansaldo, 10, 03540 Alicante (Alacant), Alicante, España",38.3660512,-0.4309062,establishment;food;point_of_interest;restaurant,4.1,1827,2,http://maurorestaurant.com/,965 29 74 76,"Cocina española innovadora, con énfasis en el marisco y el pescado, en un restaurante sofisticado con terraza con jardín."
ChIJO5HODwA7Yg0R-46u6pSciYg,Restaurante Albasit,"03560 El Campello, Alicante, España",38.4289804,-0.397816,establishment;food;point_of_interest;restaurant,,,,,,
