place_id,name,address,lat,lng,types,rating,user_ratings_total,price_level,website,phone,summary
ChIJyUr0V_q2Yw0RbrAUYdv0TqU,Bar De Tapas Salvador,"Carrer Poeta Miguel Hernandez, 69, 03201 Elx, Alicante, España",38.2643884,-0.7075724999999999,establishment;food;point_of_interest;restaurant,4.6,499,2,https://saliracomerbienenelche.com/barsalvador/,618 64 99 69,
ChIJF6sC4vK3Yw0RWnVMEY7PtO0,Master kebab pizzeria,"C. Antonio Pascual Quiles, 59, 03201 Elx, Alicante, España",38.2625765,-0.7106135,establishment;food;point_of_interest;restaurant,4.8,173,,https://masterkebabpizzeria.com/,641 33 12 00,
ChIJt0_1Ofe2Yw0Rg12XqPpG4tE,SANCHEZ ROLDAN restaurante,"Carrer Mariano Luiña, 16, 03201 Elx, Alicante, España",38.2677086,-0.7043008,establishment;food;point_of_interest;restaurant,4.4,412,,https://restaurantesanchezroldan.es/,,
ChIJrayn8CG3Yw0RpLE1WTjxhLM,Melisa Taperia,"Carrer los Montesinos, 20, 03203 Elx, Alicante, España",38.2662374,-0.6773549999999999,establishment;food;point_of_interest;restaurant,3.3,12,,https://www.buenacarta.es/qr6192,,
ChIJ_U5-cP-3Yw0R5VVM1uA4Ba4,Bar El Paseo Restaurante,"Calle Obispo Barrachina, C. Pedro Moreno Sastre, 34 esquina, 03205 Elche, Alicante, España",38.2722937,-0.7123832,bar;establishment;food;point_of_interest;restaurant,3.8,174,1,,865 55 16 29,
ChIJ_yKsB3q2Yw0RJ4pYagArZco,Gastro Bar El Cid,"Partida de Altabix P1 226, 03291 Elche, Alicante, España",38.2831219,-0.6827154,bar;establishment;food;point_of_interest;restaurant,3.5,3403,1,,673 87 33 62,
ChIJMTD8rIy2Yw0RvJnbSk7Mdq4,Newton Elche,"Plaça Glorieta, 2, 03203 Elx, Alicante, España",38.265822,-0.6960942,bar;establishment;food;point_of_interest;restaurant,3.8,584,,https://restaurantenewton.es/,966 16 84 06,
ChIJXbwtT223Yw0RaZmVRM7fkV4,Ouh! PAPA,"C/ Federico García Lorca, 9, 03204 Elx, Alicante, España",38.2610661,-0.7032328,establishment;food;meal_takeaway;point_of_interest;restaurant,4.8,146,,https://instagram.com/ouhpapa,688 69 62 02,
ChIJDXxFDvG2Yw0RYN2PUykb9o8,Bar - Restaurante Gustav Klimt,"Carrer del Marquès d'Asprella, 33, 03201 Elx, Alicante, España",38.26736770000001,-0.7026747,bar;cafe;establishment;food;point_of_interest;restaurant;store,4.2,471,1,,623 20 79 20,
ChIJyYkQH0e3Yw0RcWSgun6o2C0,Cocinamos para usted Altabix,"Carrer Josep Joaquim Landerer, 7, 03202 Elx, Alicante, España",38.2770294,-0.6774293,establishment;food;meal_takeaway;point_of_interest;restaurant,3.4,8,,,966 09 96 46,
ChIJOQexqTm3Yw0Rlf50uDap2OU,Chicken Uncles | Elche,"Carrer Troneta, 11, 03203 Elx, Alicante, España",38.26530959999999,-0.6979354,establishment;food;meal_takeaway;point_of_interest;restaurant,4.7,349,,https://www.chickenuncles.com/,966 83 65 31,
ChIJC6J1pda1Yw0RVO0S6kSuzmE,Bistro Artesanal cerrado,"Carrer Josefina Manresa, 109, 03202 Elx, Alicante, España",38.2783596,-0.6731984999999999,establishment;food;point_of_interest;restaurant,3.8,8,,,642 27 56 48,
ChIJ9-dKfO-2Yw0Rt-tJ1t43yS0,Pizzeria Il Mondo Della Pizza,"C. Pere Joan Perpinyà, 35, 03203 Elx, Alicante, España",38.2586602,-0.7056361999999999,establishment;food;point_of_interest;restaurant,4.5,39,,,965 41 07 27,
ChIJ-a6rU1O3Yw0R-0xtJDjmWWY,Aires Burger Bar | Elche,"Carrer Troneta, 13, 03203 Elx, Alicante, España",38.2653645,-0.6977046,establishment;food;meal_delivery;point_of_interest;restaurant,4.6,7196,2,https://airesburgerbar.com/elche/,865 88 69 14,"Hamburguesería informal con terraza que sirve hamburguesas, guarniciones, cócteles y cervezas."
ChIJ3TO5xlW2Yw0R8bx79NxYgAw,Mucho mas Que Pizza,"Carrer Francisco Tomás y Valiente, 110, 03206 Elx, Alicante, España",38.2740195,-0.7115830999999999,establishment;food;point_of_interest;restaurant,3.8,469,1,http://muchomasquepizza.com/,966 44 43 10,
ChIJbQ5pOfO2Yw0R-3ixCLkNRJ4,El Trastero Cervecería centro,"C/ Hospital, 11, 03203 Elx, Alicante, España",38.2654795,-0.6969455,bar;establishment;food;point_of_interest;restaurant,3.8,2156,1,,966 61 03 19,
ChIJESkYk6-3Yw0RHvbmWcuDMzM,Restaurante Mistral II,"Carrer Monòver, 62, 03206 Elx, Alicante, España",38.2811683,-0.7235104,establishment;food;point_of_interest;restaurant,4.2,319,1,,966 28 76 95,
ChIJu-df_ey2Yw0RutiqRHQbNJI,La Fina del Raval,"Carrer Forn Fondo, 7, 03203 Elx, Alicante, España",38.2607044,-0.6975597,establishment;food;point_of_interest;restaurant,4.2,246,1,,615 10 35 46,
ChIJBU99foC3Yw0RDeT2Bf7MljI,CUENCO ARROZ DE ORO,"Carrer Pascual García Rocamora, 36, 03205 Elx, Alicante, España",38.2726816,-0.7144455,establishment;food;point_of_interest;restaurant,3,2,,,623 21 33 22,
ChIJIWb1XIy2Yw0ROIXCvlaQ1hs,Pizzería Piccola Torino,"C. Velarde, 24, 03203 Elx, Alicante, España",38.2654773,-0.693473,establishment;food;meal_delivery;meal_takeaway;point_of_interest;restaurant,4.3,300,1,https://www.facebook.com/PizzeriaPiccolaTorino/,663 15 09 19,
ChIJs7ic-0i3Yw0RFztlRZ0okoQ,Luna de Alberdi,"Replaceta de la Fregassa, 2, Local Centro, 03202 Elche, Alicante, España",38.2661319,-0.6975072999999999,establishment;food;point_of_interest;restaurant,4.8,40,,https://www.lunadealberdi.es/,603 52 02 67,
ChIJ4_PAO9O1Yw0RZnmLHCATnpA,Restaurante KFC,"Carrer José Luis Navarro Campello, 6, 03202 Elx, Alicante, España",38.2734375,-0.6705915,establishment;food;meal_delivery;meal_takeaway;point_of_interest;restaurant,3.9,2044,1,https://www.kfc.es/encuentra-tu-kfc/kfc-elche-avd-universidad/,965 79 91 11,"Cadena de restaurantes conocida por sus cubos de pollo frito, menús combinados y complementos."
ChIJ28xxDea2Yw0Rk3YrVRX0Pi8,La Cantoneta De Josep,"Carrer Antonio Moya Albaladejo, 42, 03204 Elx, Alicante, España",38.2558579,-0.7067353,establishment;food;point_of_interest;restaurant,4.8,6,,,,
