lat,lng
38.24,-0.74
38.24,-0.736
38.24,-0.732
38.24,-0.728
38.24,-0.724
38.24,-0.72
38.24,-0.716
38.24,-0.712
38.24,-0.708
38.24,-0.704
38.24,-0.7
38.24,-0.696
38.24,-0.692
38.24,-0.688
38.24,-0.6839999999999999
38.24,-0.6799999999999999
38.24,-0.6759999999999999
38.24,-0.6719999999999999
38.24,-0.6679999999999999
38.24,-0.6639999999999999
38.243,-0.74
38.243,-0.736
38.243,-0.732
38.243,-0.728
38.243,-0.724
38.243,-0.72
38.243,-0.716
38.243,-0.712
38.243,-0.708
38.243,-0.704
38.243,-0.7
38.243,-0.696
38.243,-0.692
38.243,-0.688
38.243,-0.6839999999999999
38.243,-0.6799999999999999
38.243,-0.6759999999999999
38.243,-0.6719999999999999
38.243,-0.6679999999999999
38.243,-0.6639999999999999
38.246,-0.74
38.246,-0.736
38.246,-0.732
38.246,-0.728
38.246,-0.724
38.246,-0.72
38.246,-0.716
38.246,-0.712
38.246,-0.708
38.246,-0.704
38.246,-0.7
38.246,-0.696
38.246,-0.692
38.246,-0.688
38.246,-0.6839999999999999
38.246,-0.6799999999999999
38.246,-0.6759999999999999
38.246,-0.6719999999999999
38.246,-0.6679999999999999
38.246,-0.6639999999999999
38.249,-0.74
38.249,-0.736
38.249,-0.732
38.249,-0.728
38.249,-0.724
38.249,-0.72
38.249,-0.716
38.249,-0.712
38.249,-0.708
38.249,-0.704
38.249,-0.7
38.249,-0.696
38.249,-0.692
38.249,-0.688
38.249,-0.6839999999999999
38.249,-0.6799999999999999
38.249,-0.6759999999999999
38.249,-0.6719999999999999
38.249,-0.6679999999999999
38.249,-0.6639999999999999
38.252,-0.74
38.252,-0.736
38.252,-0.732
38.252,-0.728
38.252,-0.724
38.252,-0.72
38.252,-0.716
38.252,-0.712
38.252,-0.708
38.252,-0.704
38.252,-0.7
38.252,-0.696
38.252,-0.692
38.252,-0.688
38.252,-0.6839999999999999
38.252,-0.6799999999999999
38.252,-0.6759999999999999
38.252,-0.6719999999999999
38.252,-0.6679999999999999
38.252,-0.6639999999999999
38.255,-0.74
38.255,-0.736
38.255,-0.732
38.255,-0.728
38.255,-0.724
38.255,-0.72
38.255,-0.716
38.255,-0.712
38.255,-0.708
38.255,-0.704
38.255,-0.7
38.255,-0.696
38.255,-0.692
38.255,-0.688
38.255,-0.6839999999999999
38.255,-0.6799999999999999
38.255,-0.6759999999999999
38.255,-0.6719999999999999
38.255,-0.6679999999999999
38.255,-0.6639999999999999
38.258,-0.74
38.258,-0.736
38.258,-0.732
38.258,-0.728
38.258,-0.724
38.258,-0.72
38.258,-0.716
38.258,-0.712
38.258,-0.708
38.258,-0.704
38.258,-0.7
38.258,-0.696
38.258,-0.692
38.258,-0.688
38.258,-0.6839999999999999
38.258,-0.6799999999999999
38.258,-0.6759999999999999
38.258,-0.6719999999999999
38.258,-0.6679999999999999
38.258,-0.6639999999999999
38.261,-0.74
38.261,-0.736
38.261,-0.732
38.261,-0.728
38.261,-0.724
38.261,-0.72
38.261,-0.716
38.261,-0.712
38.261,-0.708
38.261,-0.704
38.261,-0.7
38.261,-0.696
38.261,-0.692
38.261,-0.688
38.261,-0.6839999999999999
38.261,-0.6799999999999999
38.261,-0.6759999999999999
38.261,-0.6719999999999999
38.261,-0.6679999999999999
38.261,-0.6639999999999999
38.264,-0.74
38.264,-0.736
38.264,-0.732
38.264,-0.728
38.264,-0.724
38.264,-0.72
38.264,-0.716
38.264,-0.712
38.264,-0.708
38.264,-0.704
38.264,-0.7
38.264,-0.696
38.264,-0.692
38.264,-0.688
38.264,-0.6839999999999999
38.264,-0.6799999999999999
38.264,-0.6759999999999999
38.264,-0.6719999999999999
38.264,-0.6679999999999999
38.264,-0.6639999999999999
38.267,-0.74
38.267,-0.736
38.267,-0.732
38.267,-0.728
38.267,-0.724
38.267,-0.72
38.267,-0.716
38.267,-0.712
38.267,-0.708
38.267,-0.704
38.267,-0.7
38.267,-0.696
38.267,-0.692
38.267,-0.688
38.267,-0.6839999999999999
38.267,-0.6799999999999999
38.267,-0.6759999999999999
38.267,-0.6719999999999999
38.267,-0.6679999999999999
38.267,-0.6639999999999999
38.27,-0.74
38.27,-0.736
38.27,-0.732
38.27,-0.728
38.27,-0.724
38.27,-0.72
38.27,-0.716
38.27,-0.712
38.27,-0.708
38.27,-0.704
38.27,-0.7
38.27,-0.696
38.27,-0.692
38.27,-0.688
38.27,-0.6839999999999999
38.27,-0.6799999999999999
38.27,-0.6759999999999999
38.27,-0.6719999999999999
38.27,-0.6679999999999999
38.27,-0.6639999999999999
38.273,-0.74
38.273,-0.736
38.273,-0.732
38.273,-0.728
38.273,-0.724
38.273,-0.72
38.273,-0.716
38.273,-0.712
38.273,-0.708
38.273,-0.704
38.273,-0.7
38.273,-0.696
38.273,-0.692
38.273,-0.688
38.273,-0.6839999999999999
38.273,-0.6799999999999999
38.273,-0.6759999999999999
38.273,-0.6719999999999999
38.273,-0.6679999999999999
38.273,-0.6639999999999999
38.276,-0.74
38.276,-0.736
38.276,-0.732
38.276,-0.728
38.276,-0.724
38.276,-0.72
38.276,-0.716
38.276,-0.712
38.276,-0.708
38.276,-0.704
38.276,-0.7
38.276,-0.696
38.276,-0.692
38.276,-0.688
38.276,-0.6839999999999999
38.276,-0.6799999999999999
38.276,-0.6759999999999999
38.276,-0.6719999999999999
38.276,-0.6679999999999999
38.276,-0.6639999999999999
38.279,-0.74
38.279,-0.736
38.279,-0.732
38.279,-0.728
38.279,-0.724
38.279,-0.72
38.279,-0.716
38.279,-0.712
38.279,-0.708
38.279,-0.704
38.279,-0.7
38.279,-0.696
38.279,-0.692
38.279,-0.688
38.279,-0.6839999999999999
38.279,-0.6799999999999999
38.279,-0.6759999999999999
38.279,-0.6719999999999999
38.279,-0.6679999999999999
38.279,-0.6639999999999999
38.282000000000004,-0.74
38.282000000000004,-0.736
38.282000000000004,-0.732
38.282000000000004,-0.728
38.282000000000004,-0.724
38.282000000000004,-0.72
38.282000000000004,-0.716
38.282000000000004,-0.712
38.282000000000004,-0.708
38.282000000000004,-0.704
38.282000000000004,-0.7
38.282000000000004,-0.696
38.282000000000004,-0.692
38.282000000000004,-0.688
38.282000000000004,-0.6839999999999999
38.282000000000004,-0.6799999999999999
38.282000000000004,-0.6759999999999999
38.282000000000004,-0.6719999999999999
38.282000000000004,-0.6679999999999999
38.282000000000004,-0.6639999999999999
38.285000000000004,-0.74
38.285000000000004,-0.736
38.285000000000004,-0.732
38.285000000000004,-0.728
38.285000000000004,-0.724
38.285000000000004,-0.72
38.285000000000004,-0.716
38.285000000000004,-0.712
38.285000000000004,-0.708
38.285000000000004,-0.704
38.285000000000004,-0.7
38.285000000000004,-0.696
38.285000000000004,-0.692
38.285000000000004,-0.688
38.285000000000004,-0.6839999999999999
38.285000000000004,-0.6799999999999999
38.285000000000004,-0.6759999999999999
38.285000000000004,-0.6719999999999999
38.285000000000004,-0.6679999999999999
38.285000000000004,-0.6639999999999999
38.288000000000004,-0.74
38.288000000000004,-0.736
38.288000000000004,-0.732
38.288000000000004,-0.728
38.288000000000004,-0.724
38.288000000000004,-0.72
38.288000000000004,-0.716
38.288000000000004,-0.712
38.288000000000004,-0.708
38.288000000000004,-0.704
38.288000000000004,-0.7
38.288000000000004,-0.696
38.288000000000004,-0.692
38.288000000000004,-0.688
38.288000000000004,-0.6839999999999999
38.288000000000004,-0.6799999999999999
38.288000000000004,-0.6759999999999999
38.288000000000004,-0.6719999999999999
38.288000000000004,-0.6679999999999999
38.288000000000004,-0.6639999999999999
